,Date,Event / Info,Source,Type
2022,04/29/22,Crimson board endorses BDS,Crimson,
,06/27/22,Gemma Schneider dissents from BDS call,https://www.jns.org/jewish-harvard-student-slams-student-newspapers-endorsement-of-bds/,
,,,,
,,"Put in story from Sabrina's statement about FUP stopping in front of Hillel and saying, ""This is a place where Arab and Muslim students don't feel safe or welcome""",,
2023,,Put in Sabrina Goldfischer's thesis link,https://jewishjournal.org/2023/04/19/thesis-describes-toxic-environment-jewish-students-face-at-harvard/,
,10/07/23,Hamas attacks Israel,,World event
,,"Harvard Graduate Students for Palestine and the Palestine Solidarity Committee (P.S.C.) issues statement that begins ""“We, the undersigned student organizations, hold the Israeli regime entirely responsible for all unfolding violence.” ",New Yorker,Harvard campus event
,,"RPL statement, head of HDS distances themselves from it",https://www.thecrimson.com/article/2023/10/13/hds-distances-rpl-statement-israel-palestine/,Harvard campus event
,,Student surrounded/harassed at rally (what's exact date?),https://www.youtube.com/watch?v=ID-13ZY1DWM,Harvard campus event
,10/27/23,Claudine Gay attends parents weekend Shabbat dinner at Hillel [she made some supportive remarks that at the time seemed helpful],,
,,"Harvard Hillel hires part-time staff to guide students through complaint process - Sabrina was not hired until November and didn't start until December, I think",,
,11/09/23,122 faculty sign statement criticizing Gay's statements about anti-Semitism on campus,https://medium.com/@acfreedomfacstatement/harvard-faculty-response-to-combating-antisemitism-86ca47e87cdf,
,12/05/23,"Harvard President Claudine Gay is questioned by US Congress about antisemitism on campus post 10/7. Says that calling for the genocide of Jews can be considered bullying or harassment ""depending on the context.""",NYT,Harvard official statement
,,"Harvard Hillel releases statement saying ""President Gay’s failure to properly condemn this speech calls into question her ability to protect Jewish students on Harvard’s campus.""",Hillel Email,Harvard Hillel statement
,12/08/23,President Gay apologizes for her testimony in an interview with the Crimson.,Crimson,Harvard official statement
,,Pres Gay Shabbat dinner @ Hillel & msg in Forward,,Harvard official statement
,,Rabbi David Wolpe resigns from Harvard’s antisemitism advisory group and task force,CNN,Jewish communal response
,12/19/23,Hillel sends letter to senior admin,,
2024,01/02/24,President Gay resigns. Alan Garber is appointed Interim President,Crimson,
,01/10/24,Shabbos Kestenbaum and Students Against Antisemitism file suit against Harvard University,Lawsuit PDF,
,01/19/24,"Interim President Garber Announces Formation of ""Presidential Task Force on Combating Antisemitism"" and ""Presidential Task Force on Combating Islamophobia and Anti-Arab Bias""",Harvard,
,01/20/24,"Interim President Alan Garber issues new ""Guidance on Protest and Dissent."" The statement clarifies where protests are not allowed – ""places in which demonstrations and protests would interfere with the normal activities of the University,"" including classrooms, libraries, dorms, dining halls, and offices – and emphasizes that protesters cannot prevent invited speakers from talking or being heard by audience members.",Crimson,
,,Sidechat reforms (there was earlier Hillel request here),Harvard Asks Sidechat to Enforce Content Moderation as Jewish Students Decry ‘Vicious’ Antisemitism | News,
,02/14/24,Posters of Israeli hostages defaced with anti-Semitic conspiracies,https://www.thecrimson.com/article/2024/2/14/anonymous-posters-campus-tensions/,Harvard campus event
,02/19/24,Harvard Undergraduate Palestine Solidarity Committee and the African and African American Resistance Organization post blatantly antisemtic cartoon,https://www.latimes.com/world-nation/story/2024-02-23/the-antisemitic-cartoon-roiling-harvard-its-not-the-first-time-it-caused-a-firestorm-for-student-groups,
,02/21/24,Interim President Garber Condemns Antisemitic Image Posted by Pro-Palestine Groups,Crimson,
,03/05/24,"Former Israeli Ambassador to the United States (and former American) Michael Oren penned Trials of the Ivy League for his Substack newsletter “Clarity,” describing his stint as a visiting professor at Harvard in 2006 when he taught a seminar called “The History of Zionist Diplomacy.”",Clarity,
,03/14/24,"David French urges New York Times readers to read the lawsuits against Harvard and MIT. He writes: “I spent virtually my entire legal career defending free speech on campus, including the free speech of Muslim students and staff members. …. I have never seen such comprehensive abuse directed against a vulnerable campus minority group as I’ve seen directed at Jewish students and faculty since Hamas’s terror attack on Oct. 7",NYT,
,03/21/24,"Harvard Law Professor Randall Kennedy responds to the David French column in the pages of the Crimson: ""Everything Wrong with the Legal Complaint Calling Harvard Antisemitic""",Crimson,
,03/29/24,"Alexander Kestenbaum and Students Against Antisemitism lawsuit is amended to include, among other things, the claim that a former student who uttered an antisemitic slur towards an Israeli speaker, then-Cabinet Member Tzipi Livni, at an HLS event is now employed as an instructor at HLS. Another claim: A student Plaintiff asked a Harvard faculty member who tweeted that Zionists could not work in public health if he had thought through the implications of his public statements and their effect on his Jewish and Israeli students required to take his courses. The amended complaint says the student was reported by the professor to a Dean who then accused the student of “failing to uphold Harvard’s values by ‘extrapolating views and assuming intent.’”",Lawsuit PDF,
,04/03/24,"AFRO co-sponsors ""Zionists not welcome here""",https://www.instagram.com/bostonpsl/p/C5Ub4IoMg1o/?hl=en,Harvard campus event
,04/05/24,Harvard hires 24/7 security for apartheid wall,,
,04/11/24,ADL gives Harvard an 'F' on antisemitism,CNN,
,,Harvard announces first ever Jewish Affinity Celebration,Crimson,
,04/12/24,"Harvard Hillel releases statement saying ""President Gay’s failure to properly condemn this speech calls into question her ability to protect Jewish students on Harvard’s campus.""",Jewish Telegraphic Agency,
,04/22/24,"In anticipation of protests, administrators restrict access to Harvard Yard to only HUID holders.",Crimson,
,04/24/24,Pro-Palestine Harvard Students Occupy Harvard Yard on First Day of Encampment,Crimson,
,04/25/24,Dean of Students Thomas Dunne says in an email to students that the encampment violates school guidelines and participants could face disciplinary consequences,Crimson,
,04/26/24,"""Majority of Harvard FAS Faculty Dispute Presence of ‘Systemic Antisemitism’ on Campus in Survey""",Crimson,
,,"Former Harvard President Larry Summers (PhD ‘82) posts on X blaming the lack of disciplinary action thus far on “the Harvard Corporation’s failure to effectively address issues of prejudice and breakdowns of order on our campus,” and saying, “There can be no question that Harvard is practicing an ongoing double standard on discrimination between racism, misogyny and anti-semitism.”",X,
,04/27/24,HUPD Chief Says Harvard Yard Encampment is Peaceful,Crimson,
,05/04/24,Espada fired for threatening online comments to Kestenbaum,https://www.thecrimson.com/article/2024/5/4/gus-espada-fired-ealc/,Harvard official action
,05/11/24,180 Harvard profs encourage Garber to end encampment,https://www.thecrimson.com/article/2024/5/11/faculty-letter-garber-encampment-end/,Harvard group statement
,5/12/24?,Encampment depicts Garber as devil in classic anti-Semitic trope,https://www.thecrimson.com/article/2024/5/12/garber-devil-poster-removed-hoop-encampment/,Harvard campus event
,05/13/24,"Harvard University Police Enter Encampment, Photograph Protesters",Crimson,
,05/14/24,Harvard Out of Occupied Palestine Ends Harvard Yard Encampment,Crimson,
,5/14 or 5/15,Garber and Hoekstra each published statements on the dispersal of the encampment that suggested no/light consequences. We privately pressed for him to clarify and he did.,,
,05/17/24,"The House Committee on Education and the Workforce releases a report detailing a conflict between former President Claudine Gay (PhD ‘98) and the antisemitism advisory group she established after the October 7 Hamas attack on Israel. The report reveals that five of the eight advisory members threatened to resign shortly after the group's formation, criticizing Harvard’s leaders for not following their recommendations. Harvard spokesperson Jason Newton calls the report ""an incomplete and inaccurate view"" of Harvard's efforts against antisemitism",Crimson,
,,,,
,05/20/24,The Harvard Jewish Alumni Alliance (HJAA) releases a study about how Jewish students at Harvard feel ostracized and harassed by both peers and faculty. ,HJAA Report,
,05/29/24,"The Brandeis Center and Jewish Americans for Fairness in Education sue Harvard, accusing it of ignoring antisemitism and creating a hostile environment for Jewish students.",Crimson,
,06/09/24,"New Exec Director of Harvard Hillel Discusses the Future of Jewish Community on Campus -- ""The Present and Future of Jewish Life at Harvard:"" A conversation between Harvard Hillel board co-chair Adina Astor and Harvard Hillel Executive Director Rabbi Jason Rubenstein",Webinar,
,06/26/24,Harvard’s presidential task forces to combat antisemitism and anti-Muslim and anti-Arab bias release their preliminary recommendations,Crimson,
,,Harvard Places 10 Graduate Students on Probation for Encampment Participation,Crimson,
,,Rabbi David Wolpe recounts his past year as visiting scholar at HDS (and publishes related op-ed in the WSJ),Jewish Journal,
,06/27/24,"Harvard Hillel Executive Director Rabbi Jason Rubenstein (AB ‘04) calls for swift implementation of both the task force’s and Hillel’s proposals. He emphasizes that the recommendations are a starting point needing Harvard leadership’s acceptance. Rubinstein outlines additional measures Harvard should take: requiring neutrality from those in teaching and student-support roles, publicly reporting Title VI complaints, reaching out to concerned Jewish high school seniors, and covering security costs for Jewish students at Hillel. [we sent a letter from the board and Jason to senir admin - is this what you're talking about? I would like to highlight these letters if possible as they have been ahead of the curve in pushing for changes that are now happening]",Hillel Email,
